1912:Cell_i_j;1912:Cell_i_j_1;1912:Cell_i_j_2;1912:i;1912:j;1960:Cell_i_j;1960:Cell_i_j_1;1960:Cell_i_j_2;1960:i;1960:j
4097:2024-12-19 12:52:50;3912:2024-12-19 12:52:50;3327:2024-12-19 12:52:50;3:2024-12-19 12:52:50;6:2024-12-19 12:52:50;393:2024-12-19 12:52:50;311:2024-12-19 12:52:50;250:2024-12-19 12:52:50;7:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3899:2024-12-19 12:52:50;3661:2024-12-19 12:52:50;3048:2024-12-19 12:52:50;3:2024-12-19 12:52:50;9:2024-12-19 12:52:50;357:2024-12-19 12:52:50;302:2024-12-19 12:52:50;341:2024-12-19 12:52:50;7:2024-12-19 12:52:50;6:2024-12-19 12:52:50
3485:2024-12-19 12:52:50;3667:2024-12-19 12:52:50;4040:2024-12-19 12:52:50;3:2024-12-19 12:52:50;12:2024-12-19 12:52:50;331:2024-12-19 12:52:50;224:2024-12-19 12:52:50;266:2024-12-19 12:52:50;7:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3899:2024-12-19 12:52:50;4169:2024-12-19 12:52:50;3674:2024-12-19 12:52:50;3:2024-12-19 12:52:50;15:2024-12-19 12:52:50;408:2024-12-19 12:52:50;388:2024-12-19 12:52:50;396:2024-12-19 12:52:50;7:2024-12-19 12:52:50;12:2024-12-19 12:52:50
4194:2024-12-19 12:52:50;3131:2024-12-19 12:52:50;3030:2024-12-19 12:52:50;4:2024-12-19 12:52:50;0:2024-12-19 12:52:50;238:2024-12-19 12:52:50;438:2024-12-19 12:52:50;304:2024-12-19 12:52:50;7:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3985:2024-12-19 12:52:50;3533:2024-12-19 12:52:50;3772:2024-12-19 12:52:50;4:2024-12-19 12:52:50;3:2024-12-19 12:52:50;417:2024-12-19 12:52:50;322:2024-12-19 12:52:50;429:2024-12-19 12:52:50;0:2024-12-19 12:52:50;0:2024-12-19 12:52:50
3821:2024-12-19 12:52:50;3367:2024-12-19 12:52:50;3057:2024-12-19 12:52:50;4:2024-12-19 12:52:50;6:2024-12-19 12:52:50;390:2024-12-19 12:52:50;420:2024-12-19 12:52:50;418:2024-12-19 12:52:50;0:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3626:2024-12-19 12:52:50;3723:2024-12-19 12:52:50;3271:2024-12-19 12:52:50;4:2024-12-19 12:52:50;9:2024-12-19 12:52:50;202:2024-12-19 12:52:50;320:2024-12-19 12:52:50;307:2024-12-19 12:52:50;0:2024-12-19 12:52:50;6:2024-12-19 12:52:50
3918:2024-12-19 12:52:50;3628:2024-12-19 12:52:50;3273:2024-12-19 12:52:50;4:2024-12-19 12:52:50;12:2024-12-19 12:52:50;413:2024-12-19 12:52:50;418:2024-12-19 12:52:50;278:2024-12-19 12:52:50;0:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3127:2024-12-19 12:52:50;4088:2024-12-19 12:52:50;3021:2024-12-19 12:52:50;4:2024-12-19 12:52:50;15:2024-12-19 12:52:50;254:2024-12-19 12:52:50;294:2024-12-19 12:52:50;321:2024-12-19 12:52:50;0:2024-12-19 12:52:50;12:2024-12-19 12:52:50
4011:2024-12-19 12:52:50;3063:2024-12-19 12:52:50;4040:2024-12-19 12:52:50;5:2024-12-19 12:52:50;0:2024-12-19 12:52:50;310:2024-12-19 12:52:50;363:2024-12-19 12:52:50;441:2024-12-19 12:52:50;0:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3161:2024-12-19 12:52:50;4079:2024-12-19 12:52:50;3446:2024-12-19 12:52:50;5:2024-12-19 12:52:50;3:2024-12-19 12:52:50;418:2024-12-19 12:52:50;321:2024-12-19 12:52:50;426:2024-12-19 12:52:50;1:2024-12-19 12:52:50;0:2024-12-19 12:52:50
3766:2024-12-19 12:52:50;3620:2024-12-19 12:52:50;4074:2024-12-19 12:52:50;5:2024-12-19 12:52:50;6:2024-12-19 12:52:50;378:2024-12-19 12:52:50;228:2024-12-19 12:52:50;356:2024-12-19 12:52:50;1:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3076:2024-12-19 12:52:50;3791:2024-12-19 12:52:50;4113:2024-12-19 12:52:50;5:2024-12-19 12:52:50;9:2024-12-19 12:52:50;407:2024-12-19 12:52:50;235:2024-12-19 12:52:50;299:2024-12-19 12:52:50;1:2024-12-19 12:52:50;6:2024-12-19 12:52:50
3922:2024-12-19 12:52:50;3014:2024-12-19 12:52:50;3127:2024-12-19 12:52:50;5:2024-12-19 12:52:50;12:2024-12-19 12:52:50;438:2024-12-19 12:52:50;235:2024-12-19 12:52:50;420:2024-12-19 12:52:50;1:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3223:2024-12-19 12:52:50;3831:2024-12-19 12:52:50;3907:2024-12-19 12:52:50;5:2024-12-19 12:52:50;15:2024-12-19 12:52:50;353:2024-12-19 12:52:50;279:2024-12-19 12:52:50;367:2024-12-19 12:52:50;1:2024-12-19 12:52:50;12:2024-12-19 12:52:50
4088:2024-12-19 12:52:50;3335:2024-12-19 12:52:50;3890:2024-12-19 12:52:50;6:2024-12-19 12:52:50;0:2024-12-19 12:52:50;217:2024-12-19 12:52:50;348:2024-12-19 12:52:50;217:2024-12-19 12:52:50;1:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3268:2024-12-19 12:52:50;3810:2024-12-19 12:52:50;3641:2024-12-19 12:52:50;6:2024-12-19 12:52:50;3:2024-12-19 12:52:50;343:2024-12-19 12:52:50;287:2024-12-19 12:52:50;287:2024-12-19 12:52:50;2:2024-12-19 12:52:50;0:2024-12-19 12:52:50
3480:2024-12-19 12:52:50;4110:2024-12-19 12:52:50;3627:2024-12-19 12:52:50;6:2024-12-19 12:52:50;6:2024-12-19 12:52:50;449:2024-12-19 12:52:50;379:2024-12-19 12:52:50;397:2024-12-19 12:52:50;2:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3975:2024-12-19 12:52:50;3359:2024-12-19 12:52:50;3413:2024-12-19 12:52:50;6:2024-12-19 12:52:50;9:2024-12-19 12:52:50;406:2024-12-19 12:52:50;340:2024-12-19 12:52:50;439:2024-12-19 12:52:50;2:2024-12-19 12:52:50;6:2024-12-19 12:52:50
3777:2024-12-19 12:52:50;3289:2024-12-19 12:52:50;3222:2024-12-19 12:52:50;6:2024-12-19 12:52:50;12:2024-12-19 12:52:50;315:2024-12-19 12:52:50;353:2024-12-19 12:52:50;277:2024-12-19 12:52:50;2:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3651:2024-12-19 12:52:50;3928:2024-12-19 12:52:50;3480:2024-12-19 12:52:50;6:2024-12-19 12:52:50;15:2024-12-19 12:52:50;340:2024-12-19 12:52:50;224:2024-12-19 12:52:50;329:2024-12-19 12:52:50;2:2024-12-19 12:52:50;12:2024-12-19 12:52:50
4073:2024-12-19 12:52:50;3816:2024-12-19 12:52:50;3136:2024-12-19 12:52:50;7:2024-12-19 12:52:50;0:2024-12-19 12:52:50;381:2024-12-19 12:52:50;430:2024-12-19 12:52:50;399:2024-12-19 12:52:50;2:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3691:2024-12-19 12:52:50;3957:2024-12-19 12:52:50;3724:2024-12-19 12:52:50;7:2024-12-19 12:52:50;3:2024-12-19 12:52:50;347:2024-12-19 12:52:50;424:2024-12-19 12:52:50;356:2024-12-19 12:52:50;3:2024-12-19 12:52:50;0:2024-12-19 12:52:50
3382:2024-12-19 12:52:50;4057:2024-12-19 12:52:50;3481:2024-12-19 12:52:50;7:2024-12-19 12:52:50;6:2024-12-19 12:52:50;229:2024-12-19 12:52:50;226:2024-12-19 12:52:50;432:2024-12-19 12:52:50;3:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3200:2024-12-19 12:52:50;3425:2024-12-19 12:52:50;3041:2024-12-19 12:52:50;7:2024-12-19 12:52:50;9:2024-12-19 12:52:50;381:2024-12-19 12:52:50;209:2024-12-19 12:52:50;391:2024-12-19 12:52:50;3:2024-12-19 12:52:50;6:2024-12-19 12:52:50
4105:2024-12-19 12:52:50;3124:2024-12-19 12:52:50;4052:2024-12-19 12:52:50;7:2024-12-19 12:52:50;12:2024-12-19 12:52:50;201:2024-12-19 12:52:50;205:2024-12-19 12:52:50;238:2024-12-19 12:52:50;3:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3494:2024-12-19 12:52:50;3345:2024-12-19 12:52:50;3158:2024-12-19 12:52:50;7:2024-12-19 12:52:50;15:2024-12-19 12:52:50;267:2024-12-19 12:52:50;289:2024-12-19 12:52:50;414:2024-12-19 12:52:50;3:2024-12-19 12:52:50;12:2024-12-19 12:52:50
4019:2024-12-19 12:52:50;3036:2024-12-19 12:52:50;4039:2024-12-19 12:52:50;0:2024-12-19 12:52:50;0:2024-12-19 12:52:50;283:2024-12-19 12:52:50;242:2024-12-19 12:52:50;440:2024-12-19 12:52:50;3:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3538:2024-12-19 12:52:50;3210:2024-12-19 12:52:50;3728:2024-12-19 12:52:50;0:2024-12-19 12:52:50;3:2024-12-19 12:52:50;406:2024-12-19 12:52:50;343:2024-12-19 12:52:50;212:2024-12-19 12:52:50;4:2024-12-19 12:52:50;0:2024-12-19 12:52:50
4143:2024-12-19 12:52:50;3764:2024-12-19 12:52:50;3179:2024-12-19 12:52:50;0:2024-12-19 12:52:50;6:2024-12-19 12:52:50;288:2024-12-19 12:52:50;254:2024-12-19 12:52:50;415:2024-12-19 12:52:50;4:2024-12-19 12:52:50;3:2024-12-19 12:52:50
4065:2024-12-19 12:52:50;3017:2024-12-19 12:52:50;3798:2024-12-19 12:52:50;0:2024-12-19 12:52:50;9:2024-12-19 12:52:50;306:2024-12-19 12:52:50;318:2024-12-19 12:52:50;276:2024-12-19 12:52:50;4:2024-12-19 12:52:50;6:2024-12-19 12:52:50
4066:2024-12-19 12:52:50;3876:2024-12-19 12:52:50;3472:2024-12-19 12:52:50;0:2024-12-19 12:52:50;12:2024-12-19 12:52:50;446:2024-12-19 12:52:50;421:2024-12-19 12:52:50;322:2024-12-19 12:52:50;4:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3632:2024-12-19 12:52:50;3363:2024-12-19 12:52:50;3516:2024-12-19 12:52:50;0:2024-12-19 12:52:50;15:2024-12-19 12:52:50;416:2024-12-19 12:52:50;218:2024-12-19 12:52:50;335:2024-12-19 12:52:50;4:2024-12-19 12:52:50;12:2024-12-19 12:52:50
3891:2024-12-19 12:52:50;3924:2024-12-19 12:52:50;3652:2024-12-19 12:52:50;1:2024-12-19 12:52:50;0:2024-12-19 12:52:50;202:2024-12-19 12:52:50;289:2024-12-19 12:52:50;300:2024-12-19 12:52:50;4:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3117:2024-12-19 12:52:50;3375:2024-12-19 12:52:50;3753:2024-12-19 12:52:50;1:2024-12-19 12:52:50;3:2024-12-19 12:52:50;249:2024-12-19 12:52:50;437:2024-12-19 12:52:50;274:2024-12-19 12:52:50;5:2024-12-19 12:52:50;0:2024-12-19 12:52:50
3866:2024-12-19 12:52:50;3032:2024-12-19 12:52:50;3700:2024-12-19 12:52:50;1:2024-12-19 12:52:50;6:2024-12-19 12:52:50;285:2024-12-19 12:52:50;382:2024-12-19 12:52:50;313:2024-12-19 12:52:50;5:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3681:2024-12-19 12:52:50;3395:2024-12-19 12:52:50;3900:2024-12-19 12:52:50;1:2024-12-19 12:52:50;9:2024-12-19 12:52:50;391:2024-12-19 12:52:50;365:2024-12-19 12:52:50;424:2024-12-19 12:52:50;5:2024-12-19 12:52:50;6:2024-12-19 12:52:50
3406:2024-12-19 12:52:50;3699:2024-12-19 12:52:50;3689:2024-12-19 12:52:50;1:2024-12-19 12:52:50;12:2024-12-19 12:52:50;382:2024-12-19 12:52:50;322:2024-12-19 12:52:50;292:2024-12-19 12:52:50;5:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3613:2024-12-19 12:52:50;3689:2024-12-19 12:52:50;3720:2024-12-19 12:52:50;1:2024-12-19 12:52:50;15:2024-12-19 12:52:50;400:2024-12-19 12:52:50;333:2024-12-19 12:52:50;213:2024-12-19 12:52:50;5:2024-12-19 12:52:50;12:2024-12-19 12:52:50
3318:2024-12-19 12:52:50;3233:2024-12-19 12:52:50;3519:2024-12-19 12:52:50;2:2024-12-19 12:52:50;0:2024-12-19 12:52:50;212:2024-12-19 12:52:50;268:2024-12-19 12:52:50;371:2024-12-19 12:52:50;5:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3378:2024-12-19 12:52:50;3365:2024-12-19 12:52:50;4003:2024-12-19 12:52:50;2:2024-12-19 12:52:50;3:2024-12-19 12:52:50;324:2024-12-19 12:52:50;395:2024-12-19 12:52:50;206:2024-12-19 12:52:50;6:2024-12-19 12:52:50;0:2024-12-19 12:52:50
3460:2024-12-19 12:52:50;4094:2024-12-19 12:52:50;3851:2024-12-19 12:52:50;2:2024-12-19 12:52:50;6:2024-12-19 12:52:50;336:2024-12-19 12:52:50;309:2024-12-19 12:52:50;367:2024-12-19 12:52:50;6:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3489:2024-12-19 12:52:50;4120:2024-12-19 12:52:50;4135:2024-12-19 12:52:50;2:2024-12-19 12:52:50;9:2024-12-19 12:52:50;204:2024-12-19 12:52:50;300:2024-12-19 12:52:50;358:2024-12-19 12:52:50;6:2024-12-19 12:52:50;6:2024-12-19 12:52:50
3236:2024-12-19 12:52:50;4029:2024-12-19 12:52:50;3105:2024-12-19 12:52:50;2:2024-12-19 12:52:50;12:2024-12-19 12:52:50;442:2024-12-19 12:52:50;404:2024-12-19 12:52:50;325:2024-12-19 12:52:50;6:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3598:2024-12-19 12:52:50;3944:2024-12-19 12:52:50;3651:2024-12-19 12:52:50;2:2024-12-19 12:52:50;15:2024-12-19 12:52:50;214:2024-12-19 12:52:50;202:2024-12-19 12:52:50;301:2024-12-19 12:52:50;6:2024-12-19 12:52:50;12:2024-12-19 12:52:50
4129:2024-12-19 12:52:50;3539:2024-12-19 12:52:50;3562:2024-12-19 12:52:50;3:2024-12-19 12:52:50;0:2024-12-19 12:52:50;386:2024-12-19 12:52:50;367:2024-12-19 12:52:50;312:2024-12-19 12:52:50;6:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3404:2024-12-19 12:52:50;4072:2024-12-19 12:52:50;3970:2024-12-19 12:52:50;3:2024-12-19 12:52:50;3:2024-12-19 12:52:50;279:2024-12-19 12:52:50;315:2024-12-19 12:52:50;278:2024-12-19 12:52:50;7:2024-12-19 12:52:50;0:2024-12-19 12:52:50
4097:2024-12-19 12:52:50;3912:2024-12-19 12:52:50;3327:2024-12-19 12:52:50;3:2024-12-19 12:52:50;6:2024-12-19 12:52:50;393:2024-12-19 12:52:50;311:2024-12-19 12:52:50;250:2024-12-19 12:52:50;7:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3899:2024-12-19 12:52:50;3661:2024-12-19 12:52:50;3048:2024-12-19 12:52:50;3:2024-12-19 12:52:50;9:2024-12-19 12:52:50;357:2024-12-19 12:52:50;302:2024-12-19 12:52:50;341:2024-12-19 12:52:50;7:2024-12-19 12:52:50;6:2024-12-19 12:52:50
3485:2024-12-19 12:52:50;3667:2024-12-19 12:52:50;4040:2024-12-19 12:52:50;3:2024-12-19 12:52:50;12:2024-12-19 12:52:50;331:2024-12-19 12:52:50;224:2024-12-19 12:52:50;266:2024-12-19 12:52:50;7:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3899:2024-12-19 12:52:50;4169:2024-12-19 12:52:50;3674:2024-12-19 12:52:50;3:2024-12-19 12:52:50;15:2024-12-19 12:52:50;408:2024-12-19 12:52:50;388:2024-12-19 12:52:50;396:2024-12-19 12:52:50;7:2024-12-19 12:52:50;12:2024-12-19 12:52:50
4194:2024-12-19 12:52:50;3131:2024-12-19 12:52:50;3030:2024-12-19 12:52:50;4:2024-12-19 12:52:50;0:2024-12-19 12:52:50;238:2024-12-19 12:52:50;438:2024-12-19 12:52:50;304:2024-12-19 12:52:50;7:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3985:2024-12-19 12:52:50;3533:2024-12-19 12:52:50;3772:2024-12-19 12:52:50;4:2024-12-19 12:52:50;3:2024-12-19 12:52:50;417:2024-12-19 12:52:50;322:2024-12-19 12:52:50;429:2024-12-19 12:52:50;0:2024-12-19 12:52:50;0:2024-12-19 12:52:50
3821:2024-12-19 12:52:50;3367:2024-12-19 12:52:50;3057:2024-12-19 12:52:50;4:2024-12-19 12:52:50;6:2024-12-19 12:52:50;390:2024-12-19 12:52:50;420:2024-12-19 12:52:50;418:2024-12-19 12:52:50;0:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3626:2024-12-19 12:52:50;3723:2024-12-19 12:52:50;3271:2024-12-19 12:52:50;4:2024-12-19 12:52:50;9:2024-12-19 12:52:50;202:2024-12-19 12:52:50;320:2024-12-19 12:52:50;307:2024-12-19 12:52:50;0:2024-12-19 12:52:50;6:2024-12-19 12:52:50
3918:2024-12-19 12:52:50;3628:2024-12-19 12:52:50;3273:2024-12-19 12:52:50;4:2024-12-19 12:52:50;12:2024-12-19 12:52:50;413:2024-12-19 12:52:50;418:2024-12-19 12:52:50;278:2024-12-19 12:52:50;0:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3127:2024-12-19 12:52:50;4088:2024-12-19 12:52:50;3021:2024-12-19 12:52:50;4:2024-12-19 12:52:50;15:2024-12-19 12:52:50;254:2024-12-19 12:52:50;294:2024-12-19 12:52:50;321:2024-12-19 12:52:50;0:2024-12-19 12:52:50;12:2024-12-19 12:52:50
4011:2024-12-19 12:52:50;3063:2024-12-19 12:52:50;4040:2024-12-19 12:52:50;5:2024-12-19 12:52:50;0:2024-12-19 12:52:50;310:2024-12-19 12:52:50;363:2024-12-19 12:52:50;441:2024-12-19 12:52:50;0:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3161:2024-12-19 12:52:50;4079:2024-12-19 12:52:50;3446:2024-12-19 12:52:50;5:2024-12-19 12:52:50;3:2024-12-19 12:52:50;418:2024-12-19 12:52:50;321:2024-12-19 12:52:50;426:2024-12-19 12:52:50;1:2024-12-19 12:52:50;0:2024-12-19 12:52:50
3766:2024-12-19 12:52:50;3620:2024-12-19 12:52:50;4074:2024-12-19 12:52:50;5:2024-12-19 12:52:50;6:2024-12-19 12:52:50;378:2024-12-19 12:52:50;228:2024-12-19 12:52:50;356:2024-12-19 12:52:50;1:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3076:2024-12-19 12:52:50;3791:2024-12-19 12:52:50;4113:2024-12-19 12:52:50;5:2024-12-19 12:52:50;9:2024-12-19 12:52:50;407:2024-12-19 12:52:50;235:2024-12-19 12:52:50;299:2024-12-19 12:52:50;1:2024-12-19 12:52:50;6:2024-12-19 12:52:50
3922:2024-12-19 12:52:50;3014:2024-12-19 12:52:50;3127:2024-12-19 12:52:50;5:2024-12-19 12:52:50;12:2024-12-19 12:52:50;438:2024-12-19 12:52:50;235:2024-12-19 12:52:50;420:2024-12-19 12:52:50;1:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3223:2024-12-19 12:52:50;3831:2024-12-19 12:52:50;3907:2024-12-19 12:52:50;5:2024-12-19 12:52:50;15:2024-12-19 12:52:50;353:2024-12-19 12:52:50;279:2024-12-19 12:52:50;367:2024-12-19 12:52:50;1:2024-12-19 12:52:50;12:2024-12-19 12:52:50
4088:2024-12-19 12:52:50;3335:2024-12-19 12:52:50;3890:2024-12-19 12:52:50;6:2024-12-19 12:52:50;0:2024-12-19 12:52:50;217:2024-12-19 12:52:50;348:2024-12-19 12:52:50;217:2024-12-19 12:52:50;1:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3268:2024-12-19 12:52:50;3810:2024-12-19 12:52:50;3641:2024-12-19 12:52:50;6:2024-12-19 12:52:50;3:2024-12-19 12:52:50;343:2024-12-19 12:52:50;287:2024-12-19 12:52:50;287:2024-12-19 12:52:50;2:2024-12-19 12:52:50;0:2024-12-19 12:52:50
3480:2024-12-19 12:52:50;4110:2024-12-19 12:52:50;3627:2024-12-19 12:52:50;6:2024-12-19 12:52:50;6:2024-12-19 12:52:50;449:2024-12-19 12:52:50;379:2024-12-19 12:52:50;397:2024-12-19 12:52:50;2:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3975:2024-12-19 12:52:50;3359:2024-12-19 12:52:50;3413:2024-12-19 12:52:50;6:2024-12-19 12:52:50;9:2024-12-19 12:52:50;406:2024-12-19 12:52:50;340:2024-12-19 12:52:50;439:2024-12-19 12:52:50;2:2024-12-19 12:52:50;6:2024-12-19 12:52:50
3777:2024-12-19 12:52:50;3289:2024-12-19 12:52:50;3222:2024-12-19 12:52:50;6:2024-12-19 12:52:50;12:2024-12-19 12:52:50;315:2024-12-19 12:52:50;353:2024-12-19 12:52:50;277:2024-12-19 12:52:50;2:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3651:2024-12-19 12:52:50;3928:2024-12-19 12:52:50;3480:2024-12-19 12:52:50;6:2024-12-19 12:52:50;15:2024-12-19 12:52:50;340:2024-12-19 12:52:50;224:2024-12-19 12:52:50;329:2024-12-19 12:52:50;2:2024-12-19 12:52:50;12:2024-12-19 12:52:50
4073:2024-12-19 12:52:50;3816:2024-12-19 12:52:50;3136:2024-12-19 12:52:50;7:2024-12-19 12:52:50;0:2024-12-19 12:52:50;381:2024-12-19 12:52:50;430:2024-12-19 12:52:50;399:2024-12-19 12:52:50;2:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3691:2024-12-19 12:52:50;3957:2024-12-19 12:52:50;3724:2024-12-19 12:52:50;7:2024-12-19 12:52:50;3:2024-12-19 12:52:50;347:2024-12-19 12:52:50;424:2024-12-19 12:52:50;356:2024-12-19 12:52:50;3:2024-12-19 12:52:50;0:2024-12-19 12:52:50
3382:2024-12-19 12:52:50;4057:2024-12-19 12:52:50;3481:2024-12-19 12:52:50;7:2024-12-19 12:52:50;6:2024-12-19 12:52:50;229:2024-12-19 12:52:50;226:2024-12-19 12:52:50;432:2024-12-19 12:52:50;3:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3200:2024-12-19 12:52:50;3425:2024-12-19 12:52:50;3041:2024-12-19 12:52:50;7:2024-12-19 12:52:50;9:2024-12-19 12:52:50;381:2024-12-19 12:52:50;209:2024-12-19 12:52:50;391:2024-12-19 12:52:50;3:2024-12-19 12:52:50;6:2024-12-19 12:52:50
4105:2024-12-19 12:52:50;3124:2024-12-19 12:52:50;4052:2024-12-19 12:52:50;7:2024-12-19 12:52:50;12:2024-12-19 12:52:50;201:2024-12-19 12:52:50;205:2024-12-19 12:52:50;238:2024-12-19 12:52:50;3:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3494:2024-12-19 12:52:50;3345:2024-12-19 12:52:50;3158:2024-12-19 12:52:50;7:2024-12-19 12:52:50;15:2024-12-19 12:52:50;267:2024-12-19 12:52:50;289:2024-12-19 12:52:50;414:2024-12-19 12:52:50;3:2024-12-19 12:52:50;12:2024-12-19 12:52:50
4019:2024-12-19 12:52:51;3036:2024-12-19 12:52:51;4039:2024-12-19 12:52:51;0:2024-12-19 12:52:51;0:2024-12-19 12:52:51;283:2024-12-19 12:52:50;242:2024-12-19 12:52:50;440:2024-12-19 12:52:50;3:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3538:2024-12-19 12:52:51;3210:2024-12-19 12:52:51;3728:2024-12-19 12:52:51;0:2024-12-19 12:52:51;3:2024-12-19 12:52:51;406:2024-12-19 12:52:50;343:2024-12-19 12:52:50;212:2024-12-19 12:52:50;4:2024-12-19 12:52:50;0:2024-12-19 12:52:50
4143:2024-12-19 12:52:51;3764:2024-12-19 12:52:51;3179:2024-12-19 12:52:51;0:2024-12-19 12:52:51;6:2024-12-19 12:52:51;288:2024-12-19 12:52:50;254:2024-12-19 12:52:50;415:2024-12-19 12:52:50;4:2024-12-19 12:52:50;3:2024-12-19 12:52:50
4065:2024-12-19 12:52:51;3017:2024-12-19 12:52:51;3798:2024-12-19 12:52:51;0:2024-12-19 12:52:51;9:2024-12-19 12:52:51;306:2024-12-19 12:52:50;318:2024-12-19 12:52:50;276:2024-12-19 12:52:50;4:2024-12-19 12:52:50;6:2024-12-19 12:52:50
4066:2024-12-19 12:52:51;3876:2024-12-19 12:52:51;3472:2024-12-19 12:52:51;0:2024-12-19 12:52:51;12:2024-12-19 12:52:51;446:2024-12-19 12:52:50;421:2024-12-19 12:52:50;322:2024-12-19 12:52:50;4:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3632:2024-12-19 12:52:51;3363:2024-12-19 12:52:51;3516:2024-12-19 12:52:51;0:2024-12-19 12:52:51;15:2024-12-19 12:52:51;416:2024-12-19 12:52:50;218:2024-12-19 12:52:50;335:2024-12-19 12:52:50;4:2024-12-19 12:52:50;12:2024-12-19 12:52:50
3891:2024-12-19 12:52:51;3924:2024-12-19 12:52:51;3652:2024-12-19 12:52:51;1:2024-12-19 12:52:51;0:2024-12-19 12:52:51;202:2024-12-19 12:52:50;289:2024-12-19 12:52:50;300:2024-12-19 12:52:50;4:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3117:2024-12-19 12:52:51;3375:2024-12-19 12:52:51;3753:2024-12-19 12:52:51;1:2024-12-19 12:52:51;3:2024-12-19 12:52:51;249:2024-12-19 12:52:50;437:2024-12-19 12:52:50;274:2024-12-19 12:52:50;5:2024-12-19 12:52:50;0:2024-12-19 12:52:50
3866:2024-12-19 12:52:51;3032:2024-12-19 12:52:51;3700:2024-12-19 12:52:51;1:2024-12-19 12:52:51;6:2024-12-19 12:52:51;285:2024-12-19 12:52:50;382:2024-12-19 12:52:50;313:2024-12-19 12:52:50;5:2024-12-19 12:52:50;3:2024-12-19 12:52:50
3681:2024-12-19 12:52:51;3395:2024-12-19 12:52:51;3900:2024-12-19 12:52:51;1:2024-12-19 12:52:51;9:2024-12-19 12:52:51;391:2024-12-19 12:52:50;365:2024-12-19 12:52:50;424:2024-12-19 12:52:50;5:2024-12-19 12:52:50;6:2024-12-19 12:52:50
3406:2024-12-19 12:52:51;3699:2024-12-19 12:52:51;3689:2024-12-19 12:52:51;1:2024-12-19 12:52:51;12:2024-12-19 12:52:51;382:2024-12-19 12:52:50;322:2024-12-19 12:52:50;292:2024-12-19 12:52:50;5:2024-12-19 12:52:50;9:2024-12-19 12:52:50
3613:2024-12-19 12:52:51;3689:2024-12-19 12:52:51;3720:2024-12-19 12:52:51;1:2024-12-19 12:52:51;15:2024-12-19 12:52:51;400:2024-12-19 12:52:50;333:2024-12-19 12:52:50;213:2024-12-19 12:52:50;5:2024-12-19 12:52:50;12:2024-12-19 12:52:50
3318:2024-12-19 12:52:51;3233:2024-12-19 12:52:51;3519:2024-12-19 12:52:51;2:2024-12-19 12:52:51;0:2024-12-19 12:52:51;212:2024-12-19 12:52:50;268:2024-12-19 12:52:50;371:2024-12-19 12:52:50;5:2024-12-19 12:52:50;15:2024-12-19 12:52:50
3378:2024-12-19 12:52:51;3365:2024-12-19 12:52:51;4003:2024-12-19 12:52:51;2:2024-12-19 12:52:51;3:2024-12-19 12:52:51;324:2024-12-19 12:52:50;395:2024-12-19 12:52:50;206:2024-12-19 12:52:50;6:2024-12-19 12:52:50;0:2024-12-19 12:52:50
